name,url,stargazers,watchers,forkCount,isFork,commitComments,releases,createdAt,primaryLanguage
redis-py,https://github.com/andymccurdy/redis-py,8354,365,1808,False,63,0,2009-11-06T10:22:26Z,Python
imgaug,https://github.com/aleju/imgaug,8325,214,1645,False,0,3,2015-07-10T20:31:33Z,Python
flair,https://github.com/flairNLP/flair,8290,206,1062,False,15,11,2018-06-11T11:04:18Z,Python
sonnet,https://github.com/deepmind/sonnet,8270,469,1199,False,0,1,2017-04-03T11:34:35Z,Python
reinforcement-learning-an-introduction,https://github.com/ShangtongZhang/reinforcement-learning-an-introduction,8240,530,3278,False,4,0,2016-09-13T16:24:05Z,Python
ungoogled-chromium,https://github.com/Eloston/ungoogled-chromium,8230,224,367,False,27,26,2015-06-12T22:24:24Z,Python
allennlp,https://github.com/allenai/allennlp,8175,275,1751,False,51,22,2017-05-15T15:52:41Z,Python
musicbox,https://github.com/darknessomi/musicbox,8144,295,1453,False,11,10,2014-08-05T03:28:24Z,Python
chisel,https://github.com/facebook/chisel,8130,285,738,False,4,10,2014-02-21T18:24:17Z,Python
Mailpile,https://github.com/mailpile/Mailpile,8100,416,978,False,59,8,2011-10-30T23:45:22Z,Python
mypy,https://github.com/python/mypy,8090,176,1227,False,114,0,2012-12-07T13:30:23Z,Python
the-gan-zoo,https://github.com/hindupuravinash/the-gan-zoo,8026,516,1720,False,0,0,2017-04-14T16:45:24Z,Python
rasa,https://github.com/RasaHQ/rasa,8013,316,2524,False,32,15,2016-10-14T12:27:49Z,Python
MLAlgorithms,https://github.com/rushter/MLAlgorithms,7964,435,1432,False,0,0,2016-10-05T06:46:45Z,Python
ml-agents,https://github.com/Unity-Technologies/ml-agents,7958,488,2167,False,29,38,2017-09-08T21:09:04Z,Python
asciinema,https://github.com/asciinema/asciinema,7942,280,690,False,13,12,2011-11-21T21:45:44Z,Python
awesome-aws,https://github.com/donnemartin/awesome-aws,7874,432,929,False,2,1,2015-10-12T12:02:47Z,Python
falcon,https://github.com/falconry/falcon,7556,298,780,False,13,0,2012-12-06T18:17:51Z,Python
thumbor,https://github.com/thumbor/thumbor,7518,211,661,False,96,93,2011-03-16T17:30:05Z,Python
Deep-Learning-with-TensorFlow-book,https://github.com/dragen1860/Deep-Learning-with-TensorFlow-book,7449,333,2104,False,11,0,2019-06-16T05:53:27Z,Python
jax,https://github.com/google/jax,7410,186,552,False,14,0,2018-10-25T21:25:02Z,Python
awesome-scala,https://github.com/lauris/awesome-scala,7397,668,1130,False,10,0,2014-07-08T08:13:52Z,Python
q,https://github.com/harelba/q,7372,172,327,False,3,10,2012-01-30T21:12:09Z,Python
django-cms,https://github.com/divio/django-cms,7370,420,2475,False,226,0,2009-03-05T10:14:18Z,Python
fashion-mnist,https://github.com/zalandoresearch/fashion-mnist,7350,285,1652,False,0,0,2017-08-25T12:05:15Z,Python
peewee,https://github.com/coleifer/peewee,7341,200,1190,False,93,112,2010-10-11T20:14:11Z,Python
pattern,https://github.com/clips/pattern,7339,565,1463,False,17,0,2011-05-03T15:29:01Z,Python
calibre,https://github.com/kovidgoyal/calibre,7310,350,1225,False,130,177,2013-05-28T10:03:23Z,Python
maskrcnn-benchmark,https://github.com/facebookresearch/maskrcnn-benchmark,7309,194,2107,False,75,1,2018-10-24T17:34:50Z,Python
ranger,https://github.com/ranger/ranger,7196,146,521,False,30,0,2009-06-04T06:41:11Z,Python
fairseq,https://github.com/pytorch/fairseq,7192,252,1753,False,44,10,2017-08-29T16:26:12Z,Python
universe,https://github.com/openai/universe,7181,461,873,False,3,2,2016-12-04T21:53:35Z,Python
EverydayWechat,https://github.com/sfyc23/EverydayWechat,7167,169,1693,False,7,0,2019-03-11T17:38:45Z,Python
Pillow,https://github.com/python-pillow/Pillow,7158,217,1420,False,132,28,2012-07-24T21:38:39Z,Python
DeDRM_tools,https://github.com/apprenticeharper/DeDRM_tools,7151,372,640,False,1,76,2015-03-09T17:21:32Z,Python
visdom,https://github.com/facebookresearch/visdom,7136,181,878,False,4,2,2017-01-25T17:59:45Z,Python
schedule,https://github.com/dbader/schedule,7096,200,655,False,1,0,2013-05-19T12:51:20Z,Python
TrumpScript,https://github.com/samshadwell/TrumpScript,7065,148,405,False,8,0,2016-01-16T05:23:07Z,Python
qrcode,https://github.com/sylnsfar/qrcode,7066,276,1151,False,1,0,2016-08-25T12:51:42Z,Python
bert-as-service,https://github.com/hanxiao/bert-as-service,7018,190,1428,False,0,10,2018-11-12T10:48:50Z,Python
networkx,https://github.com/networkx/networkx,7001,266,1810,False,45,24,2010-09-06T00:53:44Z,Python
docopt,https://github.com/docopt/docopt,6998,182,528,False,6,0,2012-04-07T17:45:14Z,Python
zhao,https://github.com/programthink/zhao,6975,551,1823,False,9,0,2016-02-28T15:38:57Z,Python
seaborn,https://github.com/mwaskom/seaborn,6943,241,1169,False,16,17,2012-06-18T18:41:19Z,Python
scipy,https://github.com/scipy/scipy,6928,320,3174,False,216,40,2011-03-09T18:52:03Z,Python
saleor,https://github.com/mirumee/saleor,6917,303,2622,False,68,30,2013-02-12T16:46:39Z,Python
pytorch_geometric,https://github.com/rusty1s/pytorch_geometric,6909,188,1107,False,6,18,2017-10-06T16:03:03Z,Python
tpot,https://github.com/EpistasisLab/tpot,6872,309,1211,False,16,17,2015-11-03T21:08:40Z,Python
chinese-xinhua,https://github.com/pwxcoo/chinese-xinhua,6862,284,1544,False,1,0,2018-02-05T02:51:53Z,Python
rq,https://github.com/rq/rq,6802,211,1109,False,64,4,2011-11-14T10:53:48Z,Python
word_cloud,https://github.com/amueller/word_cloud,6786,224,1810,False,36,2,2012-11-04T22:57:59Z,Python
examples-of-web-crawlers,https://github.com/shengqiangzhang/examples-of-web-crawlers,6783,241,2153,False,0,0,2019-03-13T07:11:23Z,Python
serverless-application-model,https://github.com/awslabs/serverless-application-model,6779,330,1733,False,21,28,2016-10-10T21:36:18Z,Python
gitsome,https://github.com/donnemartin/gitsome,6775,126,375,False,3,5,2016-04-23T03:08:21Z,Python
Chinese-Word-Vectors,https://github.com/Embedding/Chinese-Word-Vectors,6770,268,1629,False,0,0,2018-01-09T09:48:49Z,Python
pysc2,https://github.com/deepmind/pysc2,6750,391,1011,False,4,5,2017-07-25T18:16:57Z,Python
sympy,https://github.com/sympy/sympy,6748,303,2968,False,126,25,2010-04-30T20:37:14Z,Python
mlcourse.ai,https://github.com/Yorko/mlcourse.ai,6740,585,4437,False,3,0,2017-02-27T08:32:20Z,Python
autokeras,https://github.com/keras-team/autokeras,6736,293,1107,False,4,36,2017-11-19T23:18:20Z,Python
Douyin-Bot,https://github.com/wangshub/Douyin-Bot,6721,265,1399,False,1,0,2018-05-27T13:43:12Z,Python
bottle,https://github.com/bottlepy/bottle,6719,326,1297,False,73,0,2009-06-30T17:51:30Z,Python
uvloop,https://github.com/MagicStack/uvloop,6705,244,392,False,15,56,2015-11-08T04:14:54Z,Python
Keras-GAN,https://github.com/eriklindernoren/Keras-GAN,6647,265,2387,False,0,0,2017-07-11T16:24:53Z,Python
